HRA/DEPT OF SOCIAL SERVICES,External,CLINICAL CASE DEVELOPER,SOCIAL WORKER,00,Above 50K,Customized Assist Svc-NM
DEPT OF HEALTH/MENTAL HYGIENE,External,Operations Coordinator Nonfatal Overdose Response Program,CITY RESEARCH SCIENTIST,02,Above 50K,"Alcohol, Drug Prev & Treatment"
DEPT OF DESIGN & CONSTRUCTION,Internal,Deputy Program Director,ADM ENGINEER (NON MGRL),00,Below 50K,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,External,Deputy Program Director,ADM ENGINEER (NON MGRL),00,Below 50K,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Internal,Deputy Program Director,ADMIN ARCHITECT (NON MGRL) M-1,00,Below 50K,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,External,Deputy Program Director,ADMIN ARCHITECT (NON MGRL) M-1,00,Below 50K,Pub Bldgs/Various
DEPT OF INFO TECH & TELECOMM,External,Application Support Specialist,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,Enterprise APP Services
DEPT OF DESIGN & CONSTRUCTION,External,Deputy Director,ADMINISTRATIVE ENGINEER,M2,Above 50K,Prog Mgmt/Sss-Qa and Cs
DEPT OF DESIGN & CONSTRUCTION,Internal,Deputy Director,ADMINISTRATIVE ENGINEER,M2,Above 50K,Prog Mgmt/Sss-Qa and Cs
ADMIN TRIALS AND HEARINGS,Internal,Clerical Associate,CLERICAL ASSOCIATE,03,Below 50K,Health Tribunal-Manhattan
DEPT OF HEALTH/MENTAL HYGIENE,External,Medical Investigator,MEDICAL INVESTIGATOR,00,Below 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Medical Investigator,MEDICAL INVESTIGATOR,00,Below 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Community Coordinator, Bureau of Disease Control Administration",COMMUNITY COORDINATOR,00,Below 50K,Disease Control Administration
DEPT OF HEALTH/MENTAL HYGIENE,External,"Community Coordinator, Bureau of Disease Control Administration",COMMUNITY COORDINATOR,00,Below 50K,Disease Control Administration
ADMIN FOR CHILDREN'S SVCS,Internal,"Deputy Director, Marketing",ADMINISTRATIVE PUBLIC INFORMAT,M1,Above 50K,First Deputy Commissioner
ADMIN FOR CHILDREN'S SVCS,External,Systems Developer III,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,"Mis Admin,Network Sysms Dvlpmt"
OFFICE OF THE COMPTROLLER,Internal,"DIRECTOR, HUMAN RESOURCES",ADMINISTRATIVE LABOR RELATIONS,M4,Above 50K,Personnel
OFFICE OF THE COMPTROLLER,External,"DIRECTOR, HUMAN RESOURCES",ADMINISTRATIVE LABOR RELATIONS,M4,Above 50K,Personnel
POLICE DEPARTMENT,Internal,"AGENCY ATTORNEY, LEVEL II",AGENCY ATTORNEY,02,Above 50K,Legal Bureau/Civ and Cadet
POLICE DEPARTMENT,External,"AGENCY ATTORNEY, LEVEL II",AGENCY ATTORNEY,02,Above 50K,Legal Bureau/Civ and Cadet
ADMIN FOR CHILDREN'S SVCS,External,"Deputy Director, Marketing",ADMINISTRATIVE PUBLIC INFORMAT,M1,Above 50K,First Deputy Commissioner
LAW DEPARTMENT,Internal,Paralegal Assistant Supervisor,PARALEGAL AIDE,02,Below 50K,Labor & Employment Law Div F
DEPT OF ENVIRONMENT PROTECTION,External,Project Manager,CITY RESEARCH SCIENTIST,02,Above 50K,Div of Wetld Cos Com Plan/L
POLICE DEPARTMENT,External,"MECHANICAL ENGINEER, LEVEL I",MECHANICAL ENGINEER,01,Above 50K,Fleet Services DIV/CIV and CAD
POLICE DEPARTMENT,Internal,"MECHANICAL ENGINEER, LEVEL I",MECHANICAL ENGINEER,01,Above 50K,Fleet Services DIV/CIV and CAD
DEPARTMENT OF BUSINESS SERV.,External,"PROGRAM MANAGER, NYC FOOD & BEVERAGE HOSPITALITY ADVISORY BOARD",BUSINESS PROMOTION COORDINATOR,01,Below 50K,External Relations & Spec Prog
DISTRICT ATTORNEY RICHMOND COU,Internal,Crime Analyst,COMMUNITY ASSOCIATE,00,Below 50K,Executive ADA
DISTRICT ATTORNEY RICHMOND COU,External,Crime Analyst,COMMUNITY ASSOCIATE,00,Below 50K,Executive ADA
DEPT OF HEALTH/MENTAL HYGIENE,External,"Deputy Director and PQA Unit Chief, Bureau of Immunization",CITY RESEARCH SCIENTIST,4A,Above 50K,Immunization Surveillance
DEPT OF INFO TECH & TELECOMM,External,VMWare/Citrix Support Engineer - Night Shift Supervisor,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT Svcs Delivery
FIRE DEPARTMENT,External,Oracle Enterprise Architect,SENIOR IT ARCHITECT,00,Above 50K,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Internal,Oracle Enterprise Architect,SENIOR IT ARCHITECT,00,Above 50K,Bureau of Tech Deve and Syst
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Deputy Director and PQA Unit Chief, Bureau of Immunization",CITY RESEARCH SCIENTIST,4A,Above 50K,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Strategic Financial Analyst, Finance Administration",ACCOUNTANT,02,Above 50K,Finance Administration
DEPT OF HEALTH/MENTAL HYGIENE,External,"Strategic Financial Analyst, Finance Administration",ACCOUNTANT,02,Above 50K,Finance Administration
DEPT OF HEALTH/MENTAL HYGIENE,External,"Product Manager, Bureau of IT Strategy and Project Management",COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT Strategy Project Management
DEPT OF ENVIRONMENT PROTECTION,External,Environmental Engineering Intern,ENVIRONMENTAL ENGINEERING INTE,00,Below 50K,Rev Construction Compliance
DEPT OF ENVIRONMENT PROTECTION,Internal,Environmental Engineering Intern,ENVIRONMENTAL ENGINEERING INTE,00,Below 50K,Rev Construction Compliance
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Provider Education Coordinator, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",CITY RESEARCH SCIENTIST,02,Above 50K,"Alcohol, Drug Prev & Treatment"
DEPT OF HEALTH/MENTAL HYGIENE,External,"Provider Education Coordinator, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",CITY RESEARCH SCIENTIST,02,Above 50K,"Alcohol, Drug Prev & Treatment"
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Product Manager, Bureau of IT Strategy and Project Management",COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT Strategy Project Management
DEPT OF HEALTH/MENTAL HYGIENE,External,"Payment Analyst, Bureau of Controller/Fiscal Management",ACCOUNTANT,01,Below 50K,Fiscal Management
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Payment Analyst, Bureau of Controller/Fiscal Management",ACCOUNTANT,01,Below 50K,Fiscal Management
DEPT OF ENVIRONMENT PROTECTION,Internal,Technical Assistant,CLERICAL ASSOCIATE,04,Below 50K,Chief Deputies Prj Engrs Sec
DEPARTMENT OF SANITATION,External,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Human Resources
DEPARTMENT OF SANITATION,Internal,College Aide,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Human Resources
DEPARTMENT FOR THE AGING,Internal,Community Coordinator,COMMUNITY COORDINATOR,00,Below 50K,Health Promotions
DEPARTMENT FOR THE AGING,External,Community Coordinator,COMMUNITY COORDINATOR,00,Below 50K,Health Promotions
DEPT OF INFO TECH & TELECOMM,External,VMWare/Citrix Support Engineer â€“ Night Shift,COMPUTER SPECIALIST (OPERATION,00,Above 50K,IT Svcs Delivery
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,02,Below 50K,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,02,Below 50K,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervisor,  Bureau of HIV/AIDS Prevention & Control",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,HIV/AIDS Epidem & Field Srvcs
DEPARTMENT OF BUSINESS SERV.,Internal,"PROGRAM MANAGER, NYC FOOD & BEVERAGE HOSPITALITY ADVISORY BOARD",BUSINESS PROMOTION COORDINATOR,01,Below 50K,External Relations & Spec Prog
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervisor,  Bureau of HIV/AIDS Prevention & Control",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,HIV/AIDS Epidem & Field Srvcs
DEPT OF ENVIRONMENT PROTECTION,External,JOCs Administrator,ADM ENGINEER (NON MGRL),00,Above 50K,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Internal,JOCs Administrator,ADM ENGINEER (NON MGRL),00,Above 50K,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Internal,Supervisor (Watershed Maintenance),SUPERVISOR (WATERSHED MAINTENA,01,Above 50K,Richmond Chlortn Cty Oprtn Re
DEPT OF ENVIRONMENT PROTECTION,External,Supervisor (Watershed Maintenance),SUPERVISOR (WATERSHED MAINTENA,01,Above 50K,Richmond Chlortn Cty Oprtn Re
DEPARTMENT OF TRANSPORTATION,Internal,ASSISTANT HIGHWAY TRANSPORTATION SPECIALIST,ASSISTANT HIGHWAY TRANSPORTATI,00,Below 50K,Trl1 Red Light Program
DEPARTMENT OF TRANSPORTATION,External,ASSISTANT HIGHWAY TRANSPORTATION SPECIALIST,ASSISTANT HIGHWAY TRANSPORTATI,00,Below 50K,Trl1 Red Light Program
DEPT OF HEALTH/MENTAL HYGIENE,External,"Program Evaluator, Brooklyn Neighborhood Health Action Center/Center for Health Equity",CITY RESEARCH SCIENTIST,02,Below 50K,Brooklyn Health Action Center
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Data Analyst, Division of Administration Clinical Quality Management & Improvementâ€”Central Office",ASSOCIATE STAFF ANALYST,00,Above 50K,Office of Quality Improvemen
DEPT OF HEALTH/MENTAL HYGIENE,External,"Data Analyst, Division of Administration Clinical Quality Management & Improvementâ€”Central Office",ASSOCIATE STAFF ANALYST,00,Above 50K,Office of Quality Improvemen
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Program Administrator, Systems Partnerships/Cure Violence",ASSOCIATE STAFF ANALYST,00,Above 50K,Cure Violence
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Program Administrator, Systems Partnerships/Cure Violence",ASSOCIATE STAFF ANALYST,00,Above 50K,Cure Violence
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Program Evaluator, Brooklyn Neighborhood Health Action Center/Center for Health Equity",CITY RESEARCH SCIENTIST,02,Below 50K,Brooklyn Health Action Center
TAX COMMISSION,Internal,Director of Appraisal & Hearings,ADMINISTRATIVE ASSESSOR,M3,Above 50K,Civ Serv & Prov Employees
TAX COMMISSION,External,Director of Appraisal & Hearings,ADMINISTRATIVE ASSESSOR,M3,Above 50K,Civ Serv & Prov Employees
DEPT. OF HOMELESS SERVICES,Internal,Child Wait Space Counselor,COMMUNITY COORDINATOR,00,Below 50K,Path/Intake
DEPT. OF HOMELESS SERVICES,External,Child Wait Space Counselor,COMMUNITY COORDINATOR,00,Below 50K,Path/Intake
DEPT OF CITYWIDE ADMIN SVCS,Internal,LMS Administrator / Data Management,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,Program Development
DEPT OF CITYWIDE ADMIN SVCS,External,LMS Administrator / Data Management,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,Program Development
DEPT OF CITYWIDE ADMIN SVCS,External,Graphics Production Designer,GRAPHIC ARTIST,02,Above 50K,Program Development
DEPT OF CITYWIDE ADMIN SVCS,Internal,Graphics Production Designer,GRAPHIC ARTIST,02,Above 50K,Program Development
DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineer-In-Charge, Plan Review Team",ADM ENGINEER (NON MGRL),00,Below 50K,Rev Construction Compliance
DEPT OF ENVIRONMENT PROTECTION,External,"Engineer-In-Charge, Plan Review Team",ADM ENGINEER (NON MGRL),00,Below 50K,Rev Construction Compliance
DEPT OF HEALTH/MENTAL HYGIENE,External,"Computer Specialist, Bureau of Immunization",COMPUTER SPECIALIST (SOFTWARE),02,Above 50K,Immunization Registry
DEPARTMENT OF FINANCE,External,Data Analyst,COMPUTER ASSOC (SOFTWARE),03,Above 50K,Property Tax Systems Unit
DEPARTMENT OF FINANCE,Internal,Data Analyst,COMPUTER ASSOC (SOFTWARE),03,Above 50K,Property Tax Systems Unit
DEPT OF INFO TECH & TELECOMM,External,SQL/Oracle Database Administrator,CERT IT ADMINISTRATOR (DB),03,Above 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internal,SQL/Oracle Database Administrator,CERT IT ADMINISTRATOR (DB),03,Above 50K,IT Svcs Delivery
DEPARTMENT OF BUSINESS SERV.,External,PROCUREMENT OFFICER,CONTRACT REVIEWER (OFFICE OF L,01,Below 50K,Procurement
DEPARTMENT OF BUSINESS SERV.,Internal,PROCUREMENT OFFICER,CONTRACT REVIEWER (OFFICE OF L,01,Below 50K,Procurement
DEPARTMENT OF BUSINESS SERV.,External,PROCUREMENT OFFICER,CONTRACT REVIEWER (OFFICE OF L,01,Below 50K,Procurement
DEPARTMENT OF BUSINESS SERV.,Internal,PROCUREMENT OFFICER,CONTRACT REVIEWER (OFFICE OF L,01,Below 50K,Procurement
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Environmental Surveillance Analyst, Bureau of Childcare",CITY RESEARCH SCIENTIST,03,Above 50K,Child Care
HRA/DEPT OF SOCIAL SERVICES,Internal,PRODUCT MANAGER,BUSINESS PROMOTION COORDINATOR,03,Above 50K,HHS Connect-NM
HRA/DEPT OF SOCIAL SERVICES,External,PRODUCT MANAGER,BUSINESS PROMOTION COORDINATOR,03,Above 50K,HHS Connect-NM
DEPT OF INFO TECH & TELECOMM,External,Senior Internetworking Specialist,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT Svcs Delivery
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervising Public Health Advisor, Bureau of Immunization",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervising Public Health Advisor, Bureau of Immunization",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Environmental Surveillance Analyst, Bureau of Childcare",CITY RESEARCH SCIENTIST,03,Above 50K,Child Care
DEPARTMENT OF TRANSPORTATION,Internal,Principal Administrative Associate 2 - Hiring Plan,PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,Personnel
DEPARTMENT OF TRANSPORTATION,Internal,Principal Administrative Associate 2 - Hiring Plan,PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,Personnel
POLICE DEPARTMENT,External,"AGENCY ATTORNEY, LEVEL I",AGENCY ATTORNEY,01,Above 50K,Dept Advocates Off/Civ and Cad
POLICE DEPARTMENT,Internal,"AGENCY ATTORNEY, LEVEL I",AGENCY ATTORNEY,01,Above 50K,Dept Advocates Off/Civ and Cad
DEPT OF HEALTH/MENTAL HYGIENE,External,"City Research Scientist II, Bureau of STD Prevention and Control",CITY RESEARCH SCIENTIST,02,Above 50K,STD Surveillance/Epidemiology
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"City Research Scientist II, Bureau of STD Prevention and Control",CITY RESEARCH SCIENTIST,02,Above 50K,STD Surveillance/Epidemiology
DEPT OF YOUTH & COMM DEV SRVS,External,Deputy Director of Human Resources,ADM MANAGER-NON-MGRL FRM M1/M2,00,Below 50K,Human Resources
DEPT OF YOUTH & COMM DEV SRVS,Internal,Deputy Director of Human Resources,ADM MANAGER-NON-MGRL FRM M1/M2,00,Below 50K,Human Resources
FIRE DEPARTMENT,Internal,Computer Programmer,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,External,Computer Programmer,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Bureau of Tech Deve and Syst
DEPT OF PARKS & RECREATION,External,Chief of Forestry & Horticulture,ADMINISTRATIVE HORTICULTURIST,M4,Above 50K,Forestry
DEPT OF ENVIRONMENT PROTECTION,External,Computer Specialist (Software),COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,E Hudson Dist Shop 60 Kensic
DEPT OF ENVIRONMENT PROTECTION,Internal,Computer Specialist (Software),COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,E Hudson Dist Shop 60 Kensic
DEPT OF INFO TECH & TELECOMM,Internal,Senior Internetworking Specialist,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT Svcs Delivery
DEPT OF ENVIRONMENT PROTECTION,Internal,"Chief, Modeling and Water Quality Planning",ADMINISTRATIVE PROJECT MANAGER,M3,Above 50K,Planning & Stormwater Engring
BUSINESS INTEGRITY COMMISSION,Internal,Agency Attorney,AGENCY ATTORNEY,01,Above 50K,Default
BUSINESS INTEGRITY COMMISSION,External,Agency Attorney,AGENCY ATTORNEY,01,Above 50K,Default
BUSINESS INTEGRITY COMMISSION,Internal,Investigator,COMMUNITY ASSOCIATE,00,Below 50K,Default
BUSINESS INTEGRITY COMMISSION,External,Investigator,COMMUNITY ASSOCIATE,00,Below 50K,Default
DEPT OF INFO TECH & TELECOMM,External,Application Support Reporting Specialist,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Internal,Application Support Reporting Specialist,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,Enterprise APP Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Writer and Media Specialist, Commissioner's Office",ADMINISTRATIVE PUBLIC INFORMAT,M1,Above 50K,Commissioners Office
DEPT OF INFO TECH & TELECOMM,Internal,Desktop Design Engineer,IT INFRASTRUCTURE ENGINEER,00,Above 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,External,Desktop Design Engineer,IT INFRASTRUCTURE ENGINEER,00,Above 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,External,Database Administration Manager,COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT Svcs Delivery
DEPT OF ENVIRONMENT PROTECTION,Internal,Project Manager,CITY RESEARCH SCIENTIST,02,Above 50K,Div of Wetld Cos Com Plan/L
CIVILIAN COMPLAINT REVIEW BD,External,Deputy Chief Prosecutor,EXECUTIVE AGENCY COUNSEL,M1,Above 50K,Civilian Complaint Review Bd
CIVILIAN COMPLAINT REVIEW BD,Internal,Deputy Chief Prosecutor,EXECUTIVE AGENCY COUNSEL,M1,Above 50K,Civilian Complaint Review Bd
ADMIN FOR CHILDREN'S SVCS,Internal,Operations/Special Project Manager for Child Care Operations,ADMINISTRATIVE DIRECTOR OF SOC,M1,Above 50K,Early Care Prog Dvlopment (ECE
ADMIN FOR CHILDREN'S SVCS,External,Operations/Special Project Manager for Child Care Operations,ADMINISTRATIVE DIRECTOR OF SOC,M1,Above 50K,Early Care Prog Dvlopment (ECE
DEPT OF INFO TECH & TELECOMM,Internal,Database Administration Manager,COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internal,Senior Architect Cloud Network Design and Engineering,SENIOR IT ARCHITECT,00,Above 50K,IT Svcs/Telecom & Network Opr
DEPT OF INFO TECH & TELECOMM,External,Senior Architect Cloud Network Design and Engineering,SENIOR IT ARCHITECT,00,Above 50K,IT Svcs/Telecom & Network Opr
DEPT OF INFO TECH & TELECOMM,External,Systems Engineer,IT INFRASTRUCTURE ENGINEER,00,Above 50K,IT Svcs/IT Systems
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"City Custodial Assistant, Bureau of Operations",CITY CUSTODIAL ASSISTANT,00,Below 50K,Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,"City Custodial Assistant, Bureau of Operations",CITY CUSTODIAL ASSISTANT,00,Below 50K,Operations
BUSINESS INTEGRITY COMMISSION,External,Licensing Specialist,COMMUNITY ASSOCIATE,00,Below 50K,Default
DEPARTMENT OF INVESTIGATION,Internal,Investigative Auditor,CONFIDENTIAL INVESTIGATOR,01,Below 50K,PAGU IG
DEPARTMENT OF INVESTIGATION,External,Investigative Auditor,CONFIDENTIAL INVESTIGATOR,01,Below 50K,PAGU IG
DEPT OF INFO TECH & TELECOMM,Internal,Systems Engineer,IT INFRASTRUCTURE ENGINEER,00,Above 50K,IT Svcs/IT Systems
DEPARTMENT OF BUSINESS SERV.,External,"DIRECTOR, STRATEGY AND INITIATIVES, BUILDNYC2030",ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,External Relations & Spec Prog
DEPARTMENT OF BUSINESS SERV.,Internal,"DIRECTOR, STRATEGY AND INITIATIVES, BUILDNYC2030",ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,External Relations & Spec Prog
BUSINESS INTEGRITY COMMISSION,Internal,Licensing Specialist,COMMUNITY ASSOCIATE,00,Below 50K,Default
DEPT OF YOUTH & COMM DEV SRVS,External,Human Resources Generalist,ASSOCIATE STAFF ANALYST,00,Above 50K,Human Resources
DEPT OF YOUTH & COMM DEV SRVS,Internal,Human Resources Generalist,ASSOCIATE STAFF ANALYST,00,Above 50K,Human Resources
FIRE DEPARTMENT,Internal,Computer Operator,COMPUTER ASSOC (OPERATIONS),02,Above 50K,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,External,Computer Operator,COMPUTER ASSOC (OPERATIONS),02,Above 50K,Bureau of Tech Deve and Syst
DEPT OF ENVIRONMENT PROTECTION,Internal,Machinist,MACHINIST,00,Below 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,External,Machinist,MACHINIST,00,Below 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Internal,Engineering Technician,ENGINEERING TECHNICIAN,01,Below 50K,W   S/Connections Permitting
DEPT OF ENVIRONMENT PROTECTION,Internal,Retrofit Accelerator Outreach and Marketing Coordinator,COMMUNITY COORDINATOR,00,Below 50K,NYSERDA Grant
DEPT OF ENVIRONMENT PROTECTION,External,Retrofit Accelerator Outreach and Marketing Coordinator,COMMUNITY COORDINATOR,00,Below 50K,NYSERDA Grant
FIRE DEPARTMENT,External,Project Manager,IT PROJECT SPECIALIST,00,Above 50K,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Internal,Project Manager,IT PROJECT SPECIALIST,00,Above 50K,Bureau of Tech Deve and Syst
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Early Intervention Official Designee, Bureau of Early Intervention",SR HEALTHCARE PROG PLAN ANLYST,01,Above 50K,Early Intervention
DEPT OF ENVIRONMENT PROTECTION,External,Engineering Technician,ENGINEERING TECHNICIAN,01,Below 50K,W   S/Connections Permitting
DEPARTMENT OF FINANCE,Internal,Computer Associate (SW) 2,COMPUTER ASSOC (SOFTWARE),02,Above 50K,Property Reporting Group
DEPT OF HEALTH/MENTAL HYGIENE,External,"Early Intervention Official Designee, Bureau of Early Intervention",SR HEALTHCARE PROG PLAN ANLYST,01,Above 50K,Early Intervention
DEPT OF ENVIRONMENT PROTECTION,External,Engineering Technician I,ENGINEERING TECHNICIAN,01,Below 50K,Div of Field Op/Quality Assur
DEPT OF ENVIRONMENT PROTECTION,Internal,Engineering Technician I,ENGINEERING TECHNICIAN,01,Below 50K,Div of Field Op/Quality Assur
DEPARTMENT OF FINANCE,External,Computer Associate (SW) 2,COMPUTER ASSOC (SOFTWARE),02,Above 50K,Property Reporting Group
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Borough Nursing Director, Bureau of School Health/SH Nursing Services & Prof Dev",ADMINISTRATIVE PUBLIC HEALTH N,M1,Above 50K,SH Nursing Services & Prof Dev
